problem,solver,iterations,solve_time_ms,final_cost,eq_violation_inf,ineq_violation_inf,success,kkt_init_violation_inf,kkt_dyn_violation_inf,kkt_eq_violation_inf,kkt_ineq_violation_inf,kkt_dual_violation_inf,kkt_complementarity_inf,kkt_stationarity_inf,kkt_residual_inf,notes
jump,ipopt-jax,285,1203482.1695779683,709500.2240382347,0.010099921421465319,0.036583797087725856,0,0.00017494199445475234,0.010099921421465319,0.0,0.036583797087725856,990.1114046762118,68076.0770330499,55334.669462279686,68076.0770330499,Maximum_WallTime_Exceeded
trot,ipopt-jax,117,324953.9926981088,30907.7615008334,3.9600600683449885e-07,8.019970534261694e-07,1,3.960060068344988e-07,3.9600600683449885e-07,0.0,8.019970534261694e-07,0.0,4.376582713254994,3.995488483943266e-05,4.376582713254994,Solve_Succeeded
cartpole,acados,68,57.34580894932151,66.80261970098115,5.329070518200751e-15,0.0,1,0.0,5.329070518200751e-15,4.440892098500626e-16,0.0,,,,5.329070518200751e-15,status=0
acrobot,acados,99,11.784716043621302,44.51328514122323,3.6770586575585185e-13,0.0,1,0.0,3.6770586575585185e-13,0.0,0.0,,,13.566887331704983,13.566887331704983,status=0
quadpendulum,acados,31,526.9522609887645,11.752409024021198,1.2024159445900295e-11,0.0,1,0.0,1.2024159445900295e-11,1.389555137620846e-12,0.0,,,,1.2024159445900295e-11,status=0
quadpendulum_theta,acados,0,0.0,nan,nan,nan,0,,,,,,,,,acados does not natively support cross-stage Theta (theta_dim=1)
cartpole,fatrop-casadi,80,41.37667594477534,66.80261987302538,1.944222560723574e-12,0.0,1,0.0,1.944222560723574e-12,9.83158924900241e-24,0.0,0.0,1.784683040168561e-07,2.8279378838647062e-11,1.784683040168561e-07,0
acrobot,fatrop-casadi,17,30.284748994745314,44.513285141362346,3.155609107352575e-11,0.0,1,0.0,3.155609107352575e-11,0.0,0.0,,,3.1869284988772506e-11,3.1869284988772506e-11,0
quadpendulum,fatrop-casadi,112,1595.527242985554,8.279483678304924,8.381739746710082e-12,0.0,1,0.0,8.381739746710082e-12,6.2071633166225716e-21,0.0,0.0,1.0001150881914996e-07,3.447321941796311e-11,1.0001150881914996e-07,0
quadpendulum_theta,fatrop-casadi,0,0.0,nan,nan,nan,0,,,,,,,,,fatrop does not natively support cross-stage Theta (theta_dim=1)
cartpole,fatrop-jax,99,37155.03331203945,66.80261980110308,4.736744330102738e-11,0.0,1,0.0,4.736744330102738e-11,2.6469779620185813e-23,0.0,0.0,1.0646884778925625e-07,4.3074083189154067e-10,1.0646884778925625e-07,0
acrobot,fatrop-jax,17,4265.279524959624,44.513285141362346,3.155609107352575e-11,0.0,1,0.0,3.155609107352575e-11,0.0,0.0,,,3.18698123447092e-11,3.18698123447092e-11,0
quadpendulum,fatrop-jax,112,189990.77212100383,8.279483678304928,8.381739746710082e-12,0.0,1,0.0,8.381739746710082e-12,3.427836458413584e-21,0.0,0.0,1.0001150881199205e-07,3.447305895604158e-11,1.0001150881199205e-07,0
quadpendulum_theta,fatrop-jax,0,0.0,nan,nan,nan,0,,,,,,,,,fatrop does not natively support cross-stage Theta (theta_dim=1)
barrel_roll,fatrop-jax,0,2400400.2241370035,nan,nan,nan,0,,,,,,,,,hard-killed after 2400s (subprocess timeout)
backflip,fatrop-jax,0,2400527.8767719865,nan,nan,nan,0,,,,,,,,,hard-killed after 2400s (subprocess timeout)
jump,fatrop-jax,0,2400404.0202249307,nan,nan,nan,0,,,,,,,,,hard-killed after 2400s (subprocess timeout)
